slide_name,fe_b_1_lr_level_3,fe_b_1_hr_level_1,fe_b_32_lr_level_3,fe_b_32_hr_level_1,fe_b_512_lr_level_3,fe_b_512_hr_level_1,fe_b_128_lr_level_3,fe_b_128_hr_level_1,fe_b_1_lr_level_2,fe_b_32_lr_level_2,fe_b_64_lr_level_3,fe_b_64_hr_level_1,fe_b_256_lr_level_3,fe_b_256_hr_level_1
normal_110,,,24.857494115829468,313.9466845989228,20.23039436340332,,21.340762615203857,,,,,,,
normal_112,,,45.52236223220825,607.2146139144897,,,36.34764885902405,,,,,,,
normal_113,,,40.70327949523926,626.7189283370972,,,36.804057121276855,,,,,,,
normal_123,,,34.02993297576904,487.6160745620728,,,27.564749240875244,,,,,,,
normal_115,,,39.49532508850098,604.7258157730103,,,30.030719995498657,,,,,,,
normal_119,,,42.49779629707336,592.6619317531586,,,29.750749111175537,,,,,,,
normal_108,,,6.949746370315552,104.74826908111572,,,4.843543767929077,,,,,,,
normal_122,,,56.45783281326294,772.2049765586853,,,37.465391635894775,,,,,,,
normal_120,,,55.91666007041931,773.4971487522125,,,38.46268630027771,,,,,,,
normal_118,,,29.14077067375183,399.7644531726837,,,24.387311458587646,,,,,,,
normal_116,,,21.929986000061035,295.4229967594147,,,18.110427856445312,,,,,,,
normal_114,,,57.56082081794739,781.3206198215485,,,49.78182339668274,,,,,,,
normal_111,,,67.23975396156311,948.9089555740356,,,58.19043159484863,,,,,,,
normal_109,,,31.642885446548465,427.5742938518524,,,28.46208477020264,,,,,,,
normal_121,,,47.90469574928284,636.6187212467194,,,41.22466826438904,,,,,,,
TCGA-56-8622-01Z-00-DX1.62B552C4-5CBE-4469-8DBB-E27497FF95F4,,,,135.7625162601471,,,,,,10.937539339065552,,,,
TCGA-56-8623-01Z-00-DX1.119C11E2-16E4-48A9-B8BD-6F1E8CBFEBA1,,,,278.80696058273315,,,,,,21.69596695899964,,,,
TCGA-XC-AA0X-01Z-00-DX1.61A34BE0-F16B-4EC1-8E7F-7BF94F6629F4,,,,156.3541476726532,,,,,,10.39801573753357,,,,
